"","LATITUDE","LONGITUDE","DATE..yyyy.mm.dd.","DEPTH..m.","N2","SatelliteBin","Temp","Salinity"
"569",43.03,-66.34,"08/08/2012",6,2.52,10,18,NA
"570",43.06,-68.37,"08/08/2012",6,8.63,10,21.3,NA
"571",43.11,-68.35,"17/11/2010",6,7.86,8,NA,NA
"572",43.16,-69.85,"08/08/2012",6,4.84,10,21.8,NA
"573",43.18,-69.32,"03/06/2011",6,NA,9,11.9,NA
"574",43.22,-68.37,"03/06/2011",6,1.29,9,10.8,NA
"575",43.4,-67.69,"08/08/2012",6,3.27,10,19.9,NA
"576",43.4,-67.08,"08/08/2012",6,5.35,10,18.2,NA
"577",43.49,-67.65,"03/06/2011",6,0.67,9,8.5,NA
"578",43.58,-69.31,"08/08/2012",6,34.2,10,17.5,NA
"579",43.8,-67.25,"08/08/2012",6,6.3,10,19.9,NA
"580",43.86,-66.61,"03/06/2011",6,0.32,9,7.5,NA
"581",44.11,-67.75,"17/11/2010",6,11.1,8,NA,NA
"582",44.74,-69.58,"19/11/2009",3,2.2647,4,NA,NA
"583",44.74,-69.58,"19/11/2009",24,1.0499,4,NA,NA
